# CVS $Revision: $ $Author: $ -- Sun Mar  2 00:12:48 2014 -- reformated by prettylst.pl v1.51 (build 22988)


# Weapon Name		Type
Bash				TYPE:Martial
Bolas (2-ball)		TYPE:Exotic
Goblin Stick		TYPE:Martial
Harpoon			TYPE:Exotic
Ice Axe			TYPE:Martial
Lance (Flight)		TYPE:Martial
Skiprock		TYPE:Weapon.Exotic.Ranged.Standard.Thrown.Ammunition.Bludgeoning.Halfling
Warsling				TYPE:Weapon.Exotic.Ranged.Standard.Bludgeoning.Container.Projectile.Halfling

# Quick Add
Lance (Heavy)		TYPE:Martial
Darts (Barbed)		TYPE:Simple
