# CVS $Revision: $ $Author: $ -- Fri Feb 03 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer	SOURCESHORT:LG	SOURCEDATE:2023-02

CATEGORY=Internal|Default.MOD		BONUS:ABILITYPOOL|Human Ethnicity|1|TYPE=Base|PRERACE:1,Human

###Block: Human Ethnicity
# Ability					Name									Category of Ability			Type										Template							Regional options																																		Sourcepage			Description
Undefined Ethnicity			KEY:Human Ethnicity ~ Undefined			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Undefined		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Undefined]							SOURCEPAGE:p.5			DESC:Your physical features can be any from the whole range of possibilities of all ethnic groups.<br><b>Background:</b> Your ethnicity is undefined. You are a mixture of several enthic types, have a very rare combination of recessive traits, or something else...
Baklunish Ethnicity			KEY:Human Ethnicity ~ Baklunish			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Baklunish		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Baklunish]		PREMULT:1,[PREREGION:Unspecified],[PREREGION:Bandit Kingdoms],[PREREGION:Bissel],[PREREGION:Blackmoor],[PREREGION:Bright Lands],[PREREGION:Celadon Forest],[PREREGION:Crystalmist Mountains],[PREREGION:Dyvers],[PREREGION:Ekbir],[PREREGION:Furyondy],[PREREGION:Greyhawk],[PREREGION:Empire of Iuz],[PREREGION:Ket],[PREREGION:Lortmil Mountains],[PREREGION:Plains of the Paynims],[PREREGION:Perrenland],[PREREGION:Rovers of the Barrens],[PREREGION:Tiger Nomads],[PREREGION:Tusmit],[PREREGION:Ull],[PREREGION:Valley of the Mage],[PREREGION:Vesve Forest],[PREREGION:Wolf Nomads],[PREREGION:Zeif]			SOURCEPAGE:p.5		DESC:The Baklunish have skin of golden tones, and straight, fine-textured hair that is universally dark, ranging from dusky brown to bluish black. Their eyes are usually green or gray-green; hazel and gray eyes are rare. They tend to be long of limb and facial feature, with high cheekbones.<br><b>Background:</b> The Baklunish once held a great empire on the western side of the Crystalmists and Barrier Peaks. The Invoked Devastation ruined their empire, for which the Baklunish retaliated with the Rain of Colorless Fire, burning the Suel Imperium to ash. Most surviving Baklunish moved north or west, to the borders of the old empire and beyond. The Baklunish retained much of their culture after the fall of their empire - honor, family, generosity, and piety are fundamental virtues.
Flan Ethnicity				KEY:Human Ethnicity ~ Flan				CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Flan			PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Flan]			PREMULT:1,[PREREGION:Unspecified],[PREREGION:Adri Forest],[PREREGION:Ahlissa],[PREREGION:Bandit Kingdoms],[PREREGION:Blackmoor],[PREREGION:Bone March],[PREREGION:Bright Lands],[PREREGION:Celadon Forest],[PREREGION:Celene],[PREREGION:Crystalmist Mountains],[PREREGION:Dyvers],[PREREGION:Furyondy],[PREREGION:Gamboge Forest],[PREREGION:Geoff],[PREREGION:Glorioles],[PREREGION:Gran March],[PREREGION:Greyhawk],[PREREGION:Iron Hills],[PREREGION:Empire of Iuz],[PREREGION:Keoland],[PREREGION:Lortmil Mountains],[PREREGION:North Kingdom],[PREREGION:Theocracy of the Pale],[PREREGION:Perrenland],[PREREGION:Pomarj],[PREREGION:Ratik],[PREREGION:Rovers of the Barrens],[PREREGION:Sea Princes],[PREREGION:Shield Lands],[PREREGION:Sterich],[PREREGION:Stonehold],[PREREGION:Tenh],[PREREGION:County of Ulek],[PREREGION:Duchy of Ulek],[PREREGION:Valley of the Mage],[PREREGION:Veluna],[PREREGION:Verbobonc],[PREREGION:Vesve Forest],[PREREGION:Wolf Nomads],[PREREGION:Yeomanry]			SOURCEPAGE:p.5		DESC:Pure Flan have bronze skin, varying from a light copper hue to a dark, deep brown. Flan eyes are usually dark brown, black, brown, or amber. Hair is wavy or curly and typically black or brown (or any shade between). The Flan have broad, strong faces and sturdy builds.<br><b>Background:</b> The Flan were the first known humans to live in eastern Oerik, and it is from them that the Flanaess gets its name. Although evidence exists that they once had settled nations, those vanished long ago. The Flan have always been strongly tied to the natural world, as they were nomadic hunter-gatherers for so long. They see nature as an entity to be respected but not controlled, and this is reflected in their myths, legends, and culture.
Oeridian Ethnicity			KEY:Human Ethnicity ~ Oeridian			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Oeridian		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Oeridian]		PREMULT:1,[PREREGION:Unspecified],[PREREGION:Adri Forest],[PREREGION:Ahlissa],[PREREGION:Bandit Kingdoms],[PREREGION:Bissel],[PREREGION:Blackmoor],[PREREGION:Bone March],[PREREGION:Bright Lands],[PREREGION:Celadon Forest],[PREREGION:Celene],[PREREGION:Crystalmist Mountains],[PREREGION:Dyvers],[PREREGION:Furyondy],[PREREGION:Gamboge Forest],[PREREGION:Geoff],[PREREGION:Glorioles],[PREREGION:Gran March],[PREREGION:Greyhawk],[PREREGION:Highfolk],[PREREGION:Iron Hills],[PREREGION:Irongate],[PREREGION:Empire of Iuz],[PREREGION:Keoland],[PREREGION:Ket],[PREREGION:Lendore Isles],[PREREGION:Lordship of the Isles],[PREREGION:Lortmil Mountains],[PREREGION:North Kingdom],[PREREGION:Nyrond],[PREREGION:Onnwal],[PREREGION:Theocracy of the Pale],[PREREGION:Plains of the Paynims],[PREREGION:Perrenland],[PREREGION:Pomarj],[PREREGION:Ratik],[PREREGION:Rel Astra and the Cities of the Solnor Compact],[PREREGION:Sea Barons],[PREREGION:Sea Princes],[PREREGION:Shield Lands],[PREREGION:Sterich],[PREREGION:Sunndi],[PREREGION:Tusmit],[PREREGION:County of Ulek],[PREREGION:Duchy of Ulek],[PREREGION:Principality of Ulek],[PREREGION:County of Urnst],[PREREGION:Valley of the Mage],[PREREGION:Veluna],[PREREGION:Verbobonc],[PREREGION:Vesve Forest],[PREREGION:Yeomanry]			SOURCEPAGE:p.16		DESC:Oeridian skin tones range from tan to olive; brown and auburn hair are common, though some individuals have hair as light as honey or as dark as coal. Likewise, eye coloration is highly variable; brown and gray are seen most often. Oeridians tend to have square or oval faces and strong jaw lines.<br><b>Background:</b> After inhabiting what is now Ull for generations, barbaric Oeridians were driven east by orcs and goblins employed as mercenaries by the Baklunish and Suel. The migrating Oeridians were able fighters and battled their way across the Flanaess, driving the Suel before them and allying with the Flan, elves, dwarves, and other peoples. Ancient Oeridians were fierce warriors, yet they also were self-sacrificing and loyal. These traits are not as evident today, but many Oeridians do remain temperamental and prone to violence. They have a preference for strict social order, usually fitting themselves at the top, and their military traditions are strong.
Olman Ethnicity				KEY:Human Ethnicity ~ Olman				CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Olman			PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Olman]			PREMULT:1,[PREREGION:Unspecified],[PREREGION:Amedio Jungle],[PREREGION:Lordship of the Isles],[PREREGION:Sea Princes]			SOURCEPAGE:p.6		DESC:The Olman have skin of a rich red-brown or dark brown color. Their hair is always straight and black, and their eyes are dark, from medium brown to nearly black. Olman have high cheekbones and high-bridged noses, a trait less strong in those of common birth.<br><b>Background:</b> The Olman originated on Hepmonaland, raising a number of city-states from the jungles of that land. Through centuries of warfare, they built an empire that spanned northern Hepmonaland and reached across the Densac Gulf to include the Amedio Jungle. Internal strife and wars with another human race, the dark Touv, caused them to abandon their old cities. Modern Olman have a tribal culture, with a cleric or hereditary chief leading each tribe.
Rhennee Ethnicity			KEY:Human Ethnicity ~ Rhennee			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Rhennee		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Rhennee]			PREMULT:1,[PREREGION:Unspecified],[PREREGION:Celadon Forest],[PREREGION:Dyvers],[PREREGION:Gamboge Forest],[PREREGION:Greyhawk],[PREREGION:County of Urnst],[PREREGION:Verbobonc]			SOURCEPAGE:p.7		DESC:The complexion of Rhenn-folk ranges from olive to tan; their hair is usually curly and tends to be black or dark brown. Most have eyes of gray, blue, or hazel, but green is known in some families. The Rhennee are generally short but strong and wiry.<br><b>Background:</b> The Rhennee are not native to Oerth; rather, they are accidental travelers from another plane or world, citizens of a lost homeland they call Rhop. Their legends say that they appeared first in the Great Kingdom, in or near the Adri Forest. Little is known of the original culture of the Rhennee, as they were absent from the Flanaess before 450 years ago and entered their current lifestyle to escape persecution. The Rhenn-folk are masters of inland sailing and navigation, and they love their nomadic and adventurous life.
Suloise Ethnicity			KEY:Human Ethnicity ~ Suloise			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Suloise		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Suloise]			PREMULT:1,[PREREGION:Unspecified],[PREREGION:Adri Forest],[PREREGION:Ahlissa],[PREREGION:Amedio Jungle],[PREREGION:Bandit Kingdoms],[PREREGION:Bissel],[PREREGION:Blackmoor],[PREREGION:Bone March],[PREREGION:Bright Lands],[PREREGION:Celadon Forest],[PREREGION:Celene],[PREREGION:Crystalmist Mountains],[PREREGION:Dyvers],[PREREGION:Frost Barbarians],[PREREGION:Furyondy],[PREREGION:Gamboge Forest],[PREREGION:Geoff],[PREREGION:Glorioles],[PREREGION:Gran March],[PREREGION:Greyhawk],[PREREGION:Highfolk],[PREREGION:Ice Barbarians],[PREREGION:Iron Hills],[PREREGION:Irongate],[PREREGION:Empire of Iuz],[PREREGION:Keoland],[PREREGION:Ket],[PREREGION:Lendore Isles],[PREREGION:Lordship of the Isles],[PREREGION:Lortmil Mountains],[PREREGION:North Kingdom],[PREREGION:Nyrond],[PREREGION:Onnwal],[PREREGION:Plains of the Paynims],[PREREGION:Perrenland],[PREREGION:Pomarj],[PREREGION:Ratik],[PREREGION:Rel Astra and the Cities of the Solnor Compact],[PREREGION:Scarlet Brotherhood],[PREREGION:Sea Barons],[PREREGION:Sea Princes],[PREREGION:Shield Lands],[PREREGION:Snow Barbarians],[PREREGION:Sterich],[PREREGION:Stonehold],[PREREGION:Sunndi],[PREREGION:County of Ulek],[PREREGION:Duchy of Ulek],[PREREGION:Principality of Ulek],[PREREGION:County of Urnst],[PREREGION:Duchy of Urnst],[PREREGION:Veluna],[PREREGION:Verbobonc],[PREREGION:Vesve Forest],[PREREGION:Yeomanry]			SOURCEPAGE:p.8		DESC:The Suel have the lightest coloration of any known human race of the Flanaess. Their skin is fair, with an atypical proportion of albinos. Eye color is pale blue or violet, sometimes deep blue or gray. Suel hair is wiry, often curly or kinky, with fair colors such as yellow, light red, blond, and platinum blond. The Suel tend to be lean, with narrow facial features.<br><b>Background:</b> The Suel Imperium was located in what is now the Sea of Dust. Wicked and decadent, this empire was destroyed during a war with the Baklunish when the latter brought down the Rain of Colorless Fire. Suloise survivors fled in all directions, many crossing the Hellfurnaces into the Flanaess. The modern Suel have retained an affinity for family, although they often use a very narrow definition of the word to include only siblings, parents, and children. A few Suel can trace their lineage all the way back to the days of their empire.

#

###Block: Common Regions
