# CVS $Revision: $ $Author: $ -- Mon Feb 13 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer		SOURCESHORT:LG		SOURCEDATE:2023-02

# *** BEGIN - Deities from Living Greyhawk Gazetteer ***
#Deity Name			Unique Key				Domains																	Deity Weapon													Align			Pantheon						Source Page				Type					Description
Al'Akbar			KEY:Al'Akbar			DOMAINS:Good,Healing,Law,Protection|PREALIGN:LG,LN,NG					DEITYWEAP:Falchion												ALIGN:LG		FACTSET:Pantheon|Baklunish 		SOURCEPAGE:p.164		TYPE:Demigod			DESC:Al'Akbar (ahl AHK-bar) ~ Male ~ High Cleric, Restorer of Righteousness   <b>Portfolio:</b> Guardianship, Faithfulness, Dignity, and Duty
Allitur				KEY:Allitur				DOMAINS:Good,Knowledge,Law|PREALIGN:LG,LN,NG							DEITYWEAP:Shortspear											ALIGN:LG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.165		TYPE:Lesser				DESC:Allitur (AH-lih-toor) ~ Male   <b>Portfolio:</b> Ethics and Propriety
Atroa				KEY:Atroa				DOMAINS:Air,Good,Plant,Sun|PREALIGN:LG,NG,TN,CG							DEITYWEAP:Sling													ALIGN:NG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.165		TYPE:Lesser				DESC:Atroa (ah-TROH-ah) ~ Female ~ The Sad Maiden   <b>Portfolio:</b> Spring, East Wind, and Renewal
Beltar				KEY:Beltar				DOMAINS:Chaos,Earth,Evil,War|PREALIGN:NE,CN,CE							DEITYWEAP:Strike (Unarmed)|Gauntlet (Spiked)|Claw Bracer		ALIGN:CE		FACTSET:Pantheon|Suel			SOURCEPAGE:p.166		TYPE:Lesser				DESC:Beltar (BEL-tar) ~ Female ~ The Dark Mother   <b>Portfolio:</b> Malice, Caves, and Pits
Beory				KEY:Beory				DOMAINS:Animal,Earth,Plant,Water|PREALIGN:LN,NG,TN,CN					DEITYWEAP:Club													ALIGN:TN		FACTSET:Pantheon|Flan			SOURCEPAGE:p.166		TYPE:Greater			DESC:Beory (bay-OH-ree) ~ Female ~ Oerth Mother   <b>Portfolio:</b> Oerth, Nature and Rain
Berei				KEY:Berei				DOMAINS:Good,Plant,Protection|PREALIGN:LG,NG,TN,CG						DEITYWEAP:Sickle												ALIGN:NG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.167		TYPE:Lesser				DESC:Berei (BEAR-ay) ~ Female ~ Hearth Mother   <b>Portfolio:</b> Home, Family, and Agriculture
Bleredd				KEY:Bleredd				DOMAINS:Earth,Fire,Strength|PREALIGN:LN,NG,TN,NE,CN						DEITYWEAP:Warhammer												ALIGN:TN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.167		TYPE:Lesser				DESC:Bleredd (BLAIR-ed) ~ Male ~ The Iron Mule   <b>Portfolio:</b> Metal, Mines, and Smiths
Boccob				KEY:Boccob				DOMAINS:Knowledge,Magic,Trickery|PREALIGN:LN,NG,TN,NE,CN				DEITYWEAP:Quarterstaff											ALIGN:TN		FACTSET:Pantheon|All			SOURCEPAGE:p.167		TYPE:Greater			DESC:Boccob (BOK-kob) ~ Male ~ The Uncaring, Lord of All Magic, Archmage of the Deities   <b>Portfolio:</b> Magic, Arcane Knowledge, Foresight, and Balance
Bralm				KEY:Bralm				DOMAINS:Animal,Law,Strength|PREALIGN:LN,NG,TN,NE						DEITYWEAP:Quarterstaff											ALIGN:TN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.168		TYPE:Lesser				DESC:Bralm (BRAHLM) ~ Female ~ The Flying Queen, the Hive Goddess, the Toiling Lady   <b>Portfolio:</b> Insects and Industriousness
Celestian			KEY:Celestian			DOMAINS:Knowledge,Travel,Protection|PREALIGN:LN,NG,TN,CN				DEITYWEAP:Shortspear											ALIGN:TN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.168		TYPE:Intermediate		DESC:Celestian (seh-LES-tee-an) ~ Male ~ The Far Wanderer   <b>Portfolio:</b> Stars, Space, and Wanderers
Cyndor				KEY:Cyndor				DOMAINS:Law,Protection,Travel|PREALIGN:LG,LN,LE,TN						DEITYWEAP:Sling													ALIGN:LN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.168		TYPE:Lesser				DESC:Cyndor (SIN-dohr) ~ Male ~ Keeper of Infinity, the Illimitable One   <b>Portfolio:</b> Time, Infinity, and Continuity
Dalt				KEY:Dalt				DOMAINS:Chaos,Good,Protection,Travel,Trickery|PREALIGN:NG,CG,CN			DEITYWEAP:Dagger												ALIGN:CG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.169		TYPE:Lesser				DESC:Dalt (DAHLT) ~ Male ~ The Opener of Ways   <b>Portfolio:</b> Portals, Doors, Enclosures, Locks, and Keys
Delleb				KEY:Delleb				DOMAINS:Good,Knowledge,Law,Magic|PREALIGN:LG,LN,NG						DEITYWEAP:Dart													ALIGN:LG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.169		TYPE:Lesser				DESC:Delleb (DEL-leb) ~ Male ~ The Scholar, the Scribe   <b>Portfolio:</b> Reason, Intellect, and Study
Ehlonna				KEY:Ehlonna				DOMAINS:Animal,Good,Plant,Sun|PREALIGN:LG,NG,TN,CG						DEITYWEAP:Longbow|Longsword										ALIGN:NG		FACTSET:Pantheon|All			SOURCEPAGE:p.169		TYPE:Intermediate		DESC:Ehlonna (eh-LOHN-nah) ~ Female ~ of the Forests   <b>Portfolio:</b> Forests, Woodlands, Flora and Fauna, and Fertility
Erythnul			KEY:Erythnul			DOMAINS:Chaos,Evil,Trickery,War|PREALIGN:NE,CN,CE						DEITYWEAP:Mace (Heavy)											ALIGN:CE		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.170		TYPE:Intermediate		DESC:Erythnul (eh-RITH-nul) ~ Male ~ The Many   <b>Portfolio:</b> Hate, Envy, Malice, Panic, Ugliness, and Slaughter
Fharlanghn			KEY:Fharlanghn			DOMAINS:Luck,Protection,Travel|PREALIGN:LN,NG,TN,CN						DEITYWEAP:Quarterstaff											ALIGN:TN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.170		TYPE:Intermediate		DESC:Fharlanghn (far-LAHNG-un) ~ Male ~ The Dweller on the Horizon   <b>Portfolio:</b> Horizons, Distance, Travel, and Roads
Fortubo				KEY:Fortubo				DOMAINS:Earth,Good,Law,Protection|PREALIGN:LG,LN,NG						DEITYWEAP:Warhammer												ALIGN:LG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.171		TYPE:Lesser				DESC:Fortubo (for-TOO-boh) ~ Male ~ The Stern, the Unyielding Rock, the Bountiful Seam, the Pure Ore, the Master Smith, the Stone Dweller   <b>Portfolio:</b> Stone, Metals, Mountains, and Guardianship
Geshtai				KEY:Geshtai				DOMAINS:Plant,Travel,Water|PREALIGN:LN,NG,TN,NE,CN						DEITYWEAP:Shortspear											ALIGN:TN		FACTSET:Pantheon|Baklunish		SOURCEPAGE:p.171		TYPE:Lesser				DESC:Geshtai (GESH-tie) ~ Female ~ Daughter of the Oasis   <b>Portfolio:</b> Lakes, Rivers, Wells, and Streams
Heironeous			KEY:Heironeous			DOMAINS:Good,Law,War|PREALIGN:LG,LN,NG									DEITYWEAP:Longsword|Battleaxe									ALIGN:LG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.171		TYPE:Intermediate		DESC:Heironeous (hi-ROE-nee-us) ~ Male ~ The Invincible, the Valorous Knight, the Archpaladin   <b>Portfolio:</b> Chivalry, Justice, Honor, War, Daring, and Valor
Hextor				KEY:Hextor				DOMAINS:Destruction,Evil,Law,War|PREALIGN:LN,LE,NE						DEITYWEAP:Flail													ALIGN:LE		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.172		TYPE:Intermediate		DESC:Hextor (HEKS-tor) ~ Male ~ Scourge of Battle, Champion of Evil, Herald of Hell   <b>Portfolio:</b> War, Discord, Massacres, Conflict, Fitness, and Tyranny
Incabulos			KEY:Incabulos			DOMAINS:Death,Evil,Destruction|PREALIGN:LE,TN,NE,CE						DEITYWEAP:Quarterstaff											ALIGN:NE		FACTSET:Pantheon|All			SOURCEPAGE:p.172		TYPE:Greater			DESC:Incabulos (in-CAB-yoo-lohs) ~ Male ~ The Black Rider   <b>Portfolio:</b> Sickness, Famine, Nightmares, Drought, and Disasters
Istus				KEY:Istus				DOMAINS:Chaos,Knowledge,Law,Luck|PREALIGN:LN,NG,TN,NE,CN				DEITYWEAP:Net													ALIGN:TN		FACTSET:Pantheon|Baklunish		SOURCEPAGE:p.172		TYPE:Greater			DESC:Istus (IS-tus) ~ Female ~ Lady of Our Fate, The Colorless and All-Colored   <b>Portfolio:</b> Fate, Destiny, Divination, Future, and Honesty
Iuz					KEY:Iuz					DOMAINS:Chaos,Evil,Trickery|PREALIGN:NE,CN,CE							DEITYWEAP:Greatsword											ALIGN:CE		FACTSET:Pantheon|All			SOURCEPAGE:p.173		TYPE:Demigod			DESC:Iuz (EYE-ooze) ~ Male ~ The Evil, the Old One   <b>Portfolio:</b> Deceit, Pain, Oppression, and Evil
Jascar				KEY:Jascar				DOMAINS:Earth,Good,Law,Protection|PREALIGN:LG,LN,NG						DEITYWEAP:Warhammer												ALIGN:LG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.173		TYPE:Lesser				DESC:Jascar (JAS-kar) ~ Male ~ The Lord of the Dells, the Mist Upon The Hills, the Dweller Upon the Heights, the Voice of the Hills   <b>Portfolio:</b> Hills and Mountains
Joramy				KEY:Joramy				DOMAINS:Destruction,Fire,War|PREALIGN:LN,NG,TN,CN						DEITYWEAP:Quarterstaff											ALIGN:TN		FACTSET:Pantheon|All			SOURCEPAGE:p.173		TYPE:Lesser				DESC:Joramy (JOR-um-ee) ~ Female ~ The Shrew   <b>Portfolio:</b> Fire, Volcanoes, Wrath, Anger, and Quarrels
Kord				KEY:Kord				DOMAINS:Chaos,Good,Luck,Strength|PREALIGN:NG,CG,CN						DEITYWEAP:Greatsword|Sword (Bastard)							ALIGN:CG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.174		TYPE:Intermediate		DESC:Kord (KOHRD) ~ Male ~ The Brawler   <b>Portfolio:</b> Athletics, Sport, Brawling, Strength, and Courage
Kurell				KEY:Kurell				DOMAINS:Chaos,Luck,Trickery|PREALIGN:TN,CG,CN,CE						DEITYWEAP:Sword (Short)											ALIGN:CN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.174		TYPE:Lesser				DESC:Kurell (kuh-REL) ~ Male ~ The Bitter Hand, the Scorned Heart, the Vengeful Knave   <b>Portfolio:</b> Jealousy, Revenge, and Theft
Lendor				KEY:Lendor				DOMAINS:Knowledge,Law,Protection|PREALIGN:LG,LE,LE,TN					DEITYWEAP:Greatsword											ALIGN:LN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.174		TYPE:Intermediate		DESC:Lendor (LEN-dor) ~ Mae ~  Prince of Time, Master of Tedium   <b>Portfolio:</b> Time, Tedium, Patience, and Study
Lirr				KEY:Lirr				DOMAINS:Chaos,Good,Knowledge,Magic,Travel|PREALIGN:NG,CG,CN				DEITYWEAP:Shortspear|Rapier										ALIGN:CG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.175		TYPE:Lesser				DESC:Lirr (LEER) ~ Female ~ Lady Poet, the Lorekeeper   <b>Portfolio:</b> Poetry, Prose, Literature, and Art
Llerg				KEY:Llerg				DOMAINS:Animal,Chaos,Strength|PREALIGN:TN,CG,CN,CE						DEITYWEAP:Battleaxe|Longsword									ALIGN:CN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.175		TYPE:Lesser				DESC:Llerg (LERG) ~ Male ~ Great Bear, Animal Fang, Strongest Serpent, God of Force   <b>Portfolio:</b> Beasts and Strength
Lydia				KEY:Lydia				DOMAINS:Good,Knowledge,Sun,Travel|PREALIGN:LG,NG,TN,CG					DEITYWEAP:Shortspear											ALIGN:NG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.175		TYPE:Lesser				DESC:Lydia (LIH-dee-ah) ~ Female ~ The Mother of Truth, the Pure Song   <b>Portfolio:</b> Music, Knowledge, and Daylight
Mayaheine			KEY:Mayaheine			DOMAINS:Good,Law,Protection,War|PREALIGN:LG,LN,NG						DEITYWEAP:Sword (Bastard)|Mace (Heavy)|Longbow					ALIGN:LG		FACTSET:Pantheon|All			SOURCEPAGE:p.175		TYPE:Demigod			DESC:Mayaheine (MY-ah-heen) ~ Female ~ The Shield Maiden   <b>Portfolio:</b> Protection, Justice, and Valor
Merikka				KEY:Merikka				DOMAINS:Good,Law,Plant,Protection|PREALIGN:LG,LN,NG						DEITYWEAP:Sickle												ALIGN:LG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.176		TYPE:Demigod			DESC:Merikka (meh-RIK-kah) ~ Female ~ Lady of the Calendar   <b>Portfolio:</b> Farming, Agriculture, and Home
Mouqol				KEY:Mouqol				DOMAINS:Knowledge,Travel,Trickery|PREALIGN:LN,NG,TN,NE,CN				DEITYWEAP:Dagger|Crossbow (Light)								ALIGN:TN		FACTSET:Pantheon|Baklunish		SOURCEPAGE:p.176		TYPE:Lesser				DESC:Mouqol (moh-KOHL) ~ Male ~ The Merchant   <b>Portfolio:</b> Trade, Negotiation, Ventures, Appraisal, and Reciprocity
Myhriss				KEY:Myhriss				DOMAINS:Good,Healing,Protection|PREALIGN:LG,NG,TN,CG					DEITYWEAP:Shortbow|Whip											ALIGN:NG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.177		TYPE:Lesser				DESC:Myhriss (MEE-ris) ~ Female ~ The Thrice-Kissed, Maid of Light and Dark   <b>Portfolio:</b> Love, Romance, and Beauty 
Nerull				KEY:Nerull				DOMAINS:Death,Evil,Trickery|PREALIGN:LE,TN,NE,CE						DEITYWEAP:Scythe|Dagger|Quarterstaff|Sickle						ALIGN:NE		FACTSET:Pantheon|Flan			SOURCEPAGE:p.177		TYPE:Greater			DESC:Nerull (NEH-rul) ~ Male ~ The Reaper, Foe of all Good, Hater of Life, Bringer of Darkness   <b>Portfolio:</b> Death, Darkness, Murder, and the Underworld
Norebo				KEY:Norebo				DOMAINS:Chaos,Luck,Trickery|PREALIGN:TN,CG,CN,CE						DEITYWEAP:Dagger												ALIGN:CN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.177		TYPE:Lesser				DESC:Norebo (noh-REE-boh) ~ Male ~ God of Gambles   <b>Portfolio:</b> Luck, Gambling, and Risks
Obad-Hai			KEY:Obad-Hai			DOMAINS:Air,Animal,Earth,Fire,Plant,Water|PREALIGN:LN,NG,TN,NE,CN		DEITYWEAP:Quarterstaff											ALIGN:TN		FACTSET:Pantheon|Flan			SOURCEPAGE:p.178		TYPE:Intermediate		DESC:Obad-Hai (OH-bahd HI) ~ Male ~ The Shalm   <b>Portfolio:</b> Nature, Woodlands, Freedom, Hunting, and Beasts
Olidammara			KEY:Olidammara			DOMAINS:Chaos,Luck,Trickery|PREALIGN:TN,CG,CN,CE						DEITYWEAP:Rapier												ALIGN:CN		FACTSET:Pantheon|All			SOURCEPAGE:p.178		TYPE:Intermediate		DESC:Olidammara (oh-lih-dam-MAH-rah) ~ Male ~ The Laughing Rogue   <b>Portfolio:</b> Music, Revels, Wine, Rogues, Humor, and Tricks
Osprem				KEY:Osprem				DOMAINS:Law,Protection,Travel,Water|PREALIGN:LG,LN,LE,TN				DEITYWEAP:Trident												ALIGN:LN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.178		TYPE:Intermediate		DESC:Osprem (AH-sprem) ~ Female ~ The Sea Princess, Lady of the Waves   <b>Portfolio:</b> Sea Voyages, Ships, and Sailors
Pelor				KEY:Pelor				DOMAINS:Good,Healing,Strength,Sun|PREALIGN:LG,NG,TN,CG					DEITYWEAP:Mace (Heavy)											ALIGN:NG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.178		TYPE:Greater			DESC:Pelor (PAY-lor) ~ Male ~ The Sun Father, the Shining One   <b>Portfolio:</b> Sun, Light, Strength, and Healing
Phaulkon			KEY:Phaulkon			DOMAINS:Air,Animal,Chaos,Good,War|PREALIGN:NG,CG,CN						DEITYWEAP:Longbow|Dagger										ALIGN:CG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.179		TYPE:Lesser				DESC:Phaulkon (FAHL-kahn) ~ Male ~ Master of Birds, the Feathered One, the Far Reacher, the Wind Archer   <b>Portfolio:</b> Air, Wind, Clouds, Birds, and Archery
Pholtus				KEY:Pholtus				DOMAINS:Good,Knowledge,Law,Sun|PREALIGN:LG,LN,NG						DEITYWEAP:Quarterstaff											ALIGN:LG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.179		TYPE:Intermediate		DESC:Pholtus (FOHL-tus) ~ Male ~ of the Blinding Light   <b>Portfolio:</b> Light, Resolution, Law, Order, Inflexibility, Sun, and Moons
Phyton				KEY:Phyton				DOMAINS:Chaos,Good,Plant,Sun,Water|PREALIGN:NG,CG,CN					DEITYWEAP:Scimitar												ALIGN:CG		FACTSET:Pantheon|Suel			SOURCEPAGE:p.179		TYPE:Lesser				DESC:Phyton (FIE-tahn) ~ Male ~ The Woodshaper   <b>Portfolio:</b> Nature, Beauty, and Farming
Procan				KEY:Procan				DOMAINS:Animal,Chaos,Travel,Water|PREALIGN:TN,CG,CN,CE					DEITYWEAP:Trident												ALIGN:CN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.180		TYPE:Intermediate		DESC:Procan (PROH-kan) ~ Male ~ The Storm Lord, Sailor of Sea and Sky   <b>Portfolio:</b> Seas, Sea Life, Salt, Sea Weather, and Navigation
Pyremius			KEY:Pyremius			DOMAINS:Destruction,Evil,Fire|PREALIGN:LE,TN,NE,CE						DEITYWEAP:Longsword|Whip										ALIGN:NE		FACTSET:Pantheon|Suel			SOURCEPAGE:p.181		TYPE:Lesser				DESC:Pyremius (pie-REH-mee-us) ~ Male ~ The Blazing Killer, Demon of Venom, Hideous Assassin   <b>Portfolio:</b> Fire, Poison, and Murder
Ralishaz			KEY:Ralishaz			DOMAINS:Chaos,Destruction,Luck|PREALIGN:TN,CN,CE						DEITYWEAP:Quarterstaff											ALIGN:CN		FACTSET:Pantheon|All			SOURCEPAGE:p.181		TYPE:Intermediate		DESC:Ralishaz (RAL-ih-shaz) ~ Male ~ The Unlooked For   <b>Portfolio:</b> Chance, Ill Luck, Misfortune, and Insanity
Rao					KEY:Rao					DOMAINS:Law,Good,Knowledge|PREALIGN:LG,LN,NG							DEITYWEAP:Mace (Light)											ALIGN:LG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.181		TYPE:Greater			DESC:Rao (RAH-oh) ~ Male ~ The Mediator, the Calm God   <b>Portfolio:</b> Peace, Reason, and Serenity
Raxivort			KEY:Raxivort			DOMAINS:Animal,Chaos,Evil,Trickery|PREALIGN:NE,CN,CE					DEITYWEAP:Falchion|Dagger										ALIGN:CE		FACTSET:Pantheon|All			SOURCEPAGE:p.182		TYPE:Lesser				DESC:Raxivort (RAKS-ih-vort) ~ Male ~ Lord of Xvartkind, Master of Rats, Night Flutterer   <b>Portfolio:</b> Xvarts, Rats, Wererats, and Bats
Rudd				KEY:Rudd				DOMAINS:Chaos,Good,Luck|PREALIGN:TN,CG,CN								DEITYWEAP:Rapier|Shortbow										ALIGN:CN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.182		TYPE:Demigod			DESC:Rudd (RUD) ~ Female ~ The Charm, the Duelist   <b>Portfolio:</b> Chance, Good Luck, and Skill
St. Cuthbert		KEY:St. Cuthbert		DOMAINS:Destruction,Good,Law,Protection,Strength|PREALIGN:LG,LN,NG		DEITYWEAP:Club													ALIGN:LG		FACTSET:Pantheon|All			SOURCEPAGE:p.182		TYPE:Intermediate		DESC:St. Cuthbert (CUTH-bert) ~ Male ~ of the Cudgel   <b>Portfolio:</b> Common Sense, Wisdom, Zeal, Honesty, Truth, and Discipline
Sotillion			KEY:Sotillion			DOMAINS:Air,Chaos,Good,Healing,Plant|PREALIGN:NG,CG,CN					DEITYWEAP:Net													ALIGN:CG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.183		TYPE:Lesser				DESC:Sotillion (so-TIL-ee-on) ~ Female ~ The Summer Queen   <b>Portfolio:</b> Summer, South Wind, Ease, and Comfort
