# CVS $Revision: $ $Author: $ -- Sun Feb 05 00:00:00 2023 -- formatted by stoneageartisans

###Block: Subrace Support

# Human Ethnicity
# Template Name			Unique Key							Visible				Subrace						Favored Class							Automatic Languages
Undefined				KEY:Ethnicity ~ Undefined			VISIBLE:NO			SUBRACE:Undefined			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Baklunish				KEY:Ethnicity ~ Baklunish			VISIBLE:NO			SUBRACE:Baklunish			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Flan					KEY:Ethnicity ~ Flan				VISIBLE:NO			SUBRACE:Flan				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Oeridian				KEY:Ethnicity ~ Oeridian			VISIBLE:NO			SUBRACE:Oeridian			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Olman					KEY:Ethnicity ~ Olman				VISIBLE:NO			SUBRACE:Olman				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Rhennee					KEY:Ethnicity ~ Rhennee				VISIBLE:NO			SUBRACE:Rhennee				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Suloise					KEY:Ethnicity ~ Suloise				VISIBLE:NO			SUBRACE:Suloise				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common


# Common Regions										Knowledge Skill											Visibility		Automatic Languages							Language Selection Bonuses																					Region										Kit Choices
Common Region ~ Unspecified																						VISIBLE:NO		AUTO:LANG|Common																																		REGION:Unspecified
Common Region ~ Adri Forest								CSKILL:Knowledge (Adri Forest)							VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Ancient Suloise,Flan,Old Oeridian,Sylvan															REGION:Adri Forest							KIT:1|Extra gold|Chain Shirt|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Ahlissa									CSKILL:Knowledge (Ahlissa)								VISIBLE:NO		AUTO:LANG|Common|Old Oeridian				LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Orc,Ancient Suloise												REGION:Ahlissa								KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Studded Leather|MW thieves tools
Common Region ~ Amedio Jungle							CSKILL:Knowledge (Amedio Jungle)						VISIBLE:NO		AUTO:LANG|Common|Amedi|Olman				LANGBONUS:Dwarven,Elven,Gnome,Halfling,Orc,Ancient Suloise													REGION:Amedio Jungle						KIT:1|Extra gold|Black Adder venom x1|Composite Shortbow (Str +1)|Healer's Kit & two Antitoxins|Large Scorpion venom x1|MW Bandoleer|MW Hide|MW Studded Leather
Common Region ~ Bandit Kingdoms							CSKILL:Knowledge (Bandit Kingdoms)						VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Bandit Kingdoms						KIT:1|Double extra gold|Black Adder venom x3|MW Battleaxe|MW Chain Shirt|MW Chainmail|MW Heavy Wood Shield|MW Hide|MW Light Crossbow|MW Morningstar|MW Scourge|MW Studded Leather|MW thieves tools
Common Region ~ Bissel									CSKILL:Knowledge (Bissel)								VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Dwarven,Elven,Gnome,Halfling,Old Oeridian,Ancient Suloise											REGION:Bissel								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Blackmoor								CSKILL:Knowledge (Blackmoor)							VISIBLE:NO		AUTO:LANG|Common|Flan|Orc					LANGBONUS:Ancient Baklunish,Elven,Gnome,Halfling,Old Oeridian,Ancient Suloise								REGION:Blackmoor							KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Bone March								CSKILL:Knowledge (Bone March)							VISIBLE:NO		AUTO:LANG|Common|Old Oeridian|Orc			LANGBONUS:Dwarven,Elven,Flan,Gnoll,Gnome,Goblin,Halfling,Ancient Suloise									REGION:Bone March							KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Bright Lands							CSKILL:Knowledge (Bright Lands)							VISIBLE:NO		AUTO:LANG|Common|Dwarven|Flan				LANGBONUS:Ancient Baklunish,Old Oeridian,Ancient Suloise													REGION:Bright Lands							KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Healer's Kit & two Antitoxins|Large Scorpion venom x1|MW Bandoleer|MW Studded Leather|MW thieves tools
Common Region ~ Celadon Forest							CSKILL:Knowledge (Celadon Forest)						VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Draconic,Giant,Gnoll,Goblin,Old Oeridian,Orc,Ancient Suloise,Sylvan								REGION:Celadon Forest						KIT:1|Extra gold|Chain Shirt|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Celene									CSKILL:Knowledge (Celene)								VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Flan,Gnome,Halfling,Old Oeridian,Ancient Suloise,Sylvan											REGION:Celene								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
